Tweet,Search,Document
Today I directed the establishment of the #USAF Rapid Sustainment Office. This office will leverage agile manufacturing & reform legacy maintenance processes to meet warfighter needs rapidly in a way that is both efficient & responsible to the US taxpayer,USAF,1
#ICMYI: #USAF Vice Chief of Staff reinforces the Air Force's commitment to #Airmen. ,USAF,2
I'll be sitting down with @IgnatiusPost to discuss the state of the #USAF. You can watch on @postlive today at 9:30am EST.,USAF,3
"When they planned the rescue the USAF advisors, British divers and Aussie docs told Thai officials they feared up to 5 of the boys would die on the trip out. The boys repeatedly injected w/ sedative, in neck deep water. One rescuer got lost. More on @ABCWorldNews #ThaiCaveRescue",USAF,4
"?My most meaningful experience with TMF has been the Character Does Matter program. Like the @JNJNews Credo, it inspires individuals to live with character and to serve the communities in which they live and work.? - Michael Morand, USAF veteran",USAF,5
"Great words of widsom from my late, great friend, Captain Jerry Yellin, USAAF! #LastFighterPilot  #WWII #WW2 #books #History #Military #avgeeks # #amreading #AirForce #Veterans #NYC #mustread #USAF #TCOT #ASMSG #book #USA #MemorialDay #ARMY #Navy #IARTG",USAF,6
A year ago today I officially became an Airman in the USAF..... today..... I drove my car into a ditch while having an allergic reaction. ??????,USAF,7
"If they buy a couple divisions of the F-15X, USAF can form an ""X-wing"" ",USAF,8
"This is exciting. If USAF approached Boeing about F-15X, & Boeing offered a *fixed price* contract, there?s a good chance we?ll see new Super Eagles hatching I love this concept",USAF,9
And all because the USAF refused to use the US Army?s Nike SAM system... ,USAF,10
"USAF offers new details about new Air Force Ones, but doesn't back up Trump's cost-cutting claims: ",USAF,11
Unique horse-mounted USAF unit went hunting for that RQ-4 drone that crashed on Mt. Whitney,USAF,12
"July 24, 2018: @POTUS recognized the now former Commander of the 60th Medical Group, an outstanding USAF Colonel, at the change of command ceremony. #TravisAFB, @usairforce",USAF,13
"Ok, kids, the dude in our @WhiteHouse has this retired USAF chick FED UP. You are invited to my #FBRparty. Let's stay together and defeat this DUMPSTER FIRE #FollowBackResistance ",USAF,14
Proud to have voted absentee today for fellow USAF vets @Monetti4Senate & @mcdowellformo in the MIssouri primary! Get out there and support your fellow veterans!!! #READYFORMONETTI #TonyNotJosh #StopWaste,USAF,15
